ContentNormalizedHash,PostId,PostTypeId,ParentId,RootDomain,CompleteDomain,Url
-1887973469034586451,16832049,2,14135139,co.in,dwij.co.in,http://dwij.co.in/ckeditor-ckfinder-integration-using-php/
-1887973469034586451,16963471,2,10163739,co.in,dwij.co.in,http://dwij.co.in/ckeditor-ckfinder-integration-using-php/
7376288767944985063,46111380,1,46111380,effbot.org,effbot.org,http://effbot.org/pyfaq/what-are-the-best-practices-for-using-import-in-a-module.htm
978840992016301051,31591770,2,31591125,elvery.net,elvery.net,http://elvery.net/demo/responsive-tables/
2341524940657599414,4312705,2,4312613,forrst.com,forrst.com,http://forrst.com/posts/UIDevice_Category_For_Processes-h1H
-859923329185040896,26460573,2,26399357,github.com,github.com,https://github.com/google/google-api-php-client
-859923329185040896,26775186,2,26775022,github.com,github.com,https://github.com/google/google-api-php-client
-859923329185040896,22404387,2,22370951,github.com,github.com,https://github.com/google/google-api-php-client
-859923329185040896,26135276,2,26132609,github.com,github.com,https://github.com/google/google-api-php-client
-859923329185040896,26135276,2,26132609,github.com,github.com,https://github.com/google/google-api-php-client/tree/master/src
8099534288015709696,16094773,1,16094773,github.com,github.com,https://github.com/alaingoldman/sample_app
-5858340902814917631,10118723,2,10118158,github.com,github.com,https://github.com/randym/axlsx
